run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K
casper-ffg-n4-nonuniform,casper-ffg,4,0,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.400000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,1,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,78.450000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,2,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.500000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,3,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.050000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,4,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,77.300000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,5,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,6,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.700000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,7,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,81.100000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,8,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,82.250000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
casper-ffg-n4-nonuniform,casper-ffg,4,9,poisson,512,0.0,100.0,1348a5da-dirty,20.0,5000.000001000,5000.000001000,1.600000,80.550000,5.156250,5.156250,92125.125000,1.000000,0.000000,nan,nan,nan,nan,nan
