run_id,protocol,n,seed,workload_arrival_process,workload_tx_bytes,workload_conflict_rate,workload_offered_rate,commit_hash,t_max,commit_latency_ms,finality_latency_ms,tps,goodput,consensus_msgs_per_acu,total_msgs_per_acu,bytes_per_acu,success_rate,fork_rate,K,alpha_p,alpha_c,beta,alpha_c_over_K,snowman_degenerate_n4
snowman-n4,snowman,4,0,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.850000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,1,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,94.350000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,2,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,95.100000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,3,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,95.850000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,4,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.650000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,5,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,97.350000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,6,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,97.050000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,7,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,95.500000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,8,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,97.500000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,9,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,95.900000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,10,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.300000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,11,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,96.500000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,12,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.500000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,13,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,93.300000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,14,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,91.400000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,15,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,97.900000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,16,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,97.600000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,17,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.800000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,18,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,95.800000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
snowman-n4,snowman,4,19,poisson,512,0.0,100.0,24a491a4,20.0,1000.000046000,1000.000046000,3.800000,92.200000,90.750000,90.750000,42051.000000,1.000000,0.000000,3,2,3,15,1.000000,True
